id,name,attype,locate,生命,物理,法术,团队,操作,金币价格,钻石价格,生命值,魔法值,物理攻击,法术强度,物理防御,魔法抗性,暴击,攻击速度,攻击范围,移动速度,背景,,,,,,,,,,,,,,,,,,,,,,
95,小悟空,近战,物理,5,8,4,4,4,6000,45,605(+82),0(+0),55(+3.5),0(+0),14(+3.3),30(+1.3),0(+0),0.64(+0.03),1.70(+0),300(+0),另一个未来。特兰克斯治愈了悟空的心脏病，使用紧急停止装置冻结了人造人17、18号的技能，又在沙鲁出生前及时毁灭了地下培养槽，但他并没有发现19、20号的存在。格罗博士改造布玛留给特兰克斯的时光机，试图扭转既成事实，继续向悟空复仇。然而，时光机将他与悟空一起送入了时间的乱流。这是由于格罗博士不自知的错误：他设定的复仇对象不是未来的卡卡罗特，而是记忆中那个毁灭了红绸军的少年。顺带一提，人造人19号也意外地穿越到了某个位面，成为了一位英明有位年少多金风流倜傥的领袖人物，统治着某个繁荣昌盛山河壮丽的宇宙级伟大强国........（摔！字幕君什么的不干啦）,,,,,,,,,,,,,,,,,,,,,,
94,战士娃,近战,物理,6,9,1,5,4,3800,40,635(+77),0(+0),52(+3.5),0(+0),15(+3.0),30(+1.25),0(+0),0.68(+0.03),1.55(+0),307（+0）,葫芦七兄弟被蛇妖抓住后，过上了幸福的生活。每天在神山之中组队练级，根据各自的兴趣爱好选择了不同的职业进行修行。在一次组队练级杀死最终BOSS后无意中触发了时空扰动，七兄弟同时被传送到了永恒之地，开始了他们新的旅程。,,,,,,,,,,,,,,,,,,,,,,
93,坂田银时,近战,物理,5,8,0,5,3,6000,45,565(+85),322(+42),55(+3.5),0(+0),15(+3.2),30(+1.3),0(+0),0.66(+0.03),1.40(+0),300(+0),,,,,,,,,,,,,,,,,,,,,,,
92,夜夜,近战,防御,8,8,0,3,4,6000,45,615(+82),295(+34),54(+3.3),0(+0),15(+3.1),30(+1.25),0(+0),0.65(+0.03),1.20(+0),300(+0),夜夜一直转一直转一直转一直转一直转一直转转啊转啊转啊转啊转啊转啊转啊转啊转啊转啊转啊转转转转转转转转转转转转转转转转转转转转转转转转突然就转出了时空的裂缝，”啪叽“一声地穿越了。夜夜来到了永恒之地，与带着奇怪面具的男人成为了心之友，得到了许多非常有益的教诲 例如”打不中的话就什么事都没有“、”人偶的性能不是战力差的决定因素“、”诶！花柳斋的人偶都是怪物吗“等等。夜夜能够感受到与雷真的魔力联系并未断绝，因此，目前正在寻找把雷真也带来的方法。,,,,,,,,,,,,,,,,,,,,,,
91,十六夜咲夜,远程,法系,4,1,9,6,7,未开放购买,未开放购买,570(+77),355(+48),53(+3.2),0(+0),15(+3.0),30(+0),0(+0),0.66(+0.03),5.00(+0),302(+0),"永恒之地，某时某处。红窗的洋馆静静显现。虽然此事与幻想乡无关，但闲来无事整天与绿龙相伴的某位舞女还是擅自将其定名为”河道异变“并追查而来，在红魔馆的前厅遭到了一群同样无所事事的妖精女仆的阻拦。”守门人不在。“妖精女仆A，”顺便一提大小姐和二小姐也不在。“ ”异世界并不可怕，可怕的是不能继续在红魔馆工作（混饭吃）。“妖精女仆B。”女仆也需要女仆的救世主。“妖精女仆C。舞女抬头看去，红魔馆的女仆长，十六夜咲夜，正站在楼梯最上端。”梦想封 咲 夜 的 世 界 。“”虽然时间停止以后这样说很奇怪，但大约就是5秒的样子。“女仆长悠闲地在巫女身周布满飞到。5,4,3,2,1.然后时间开始流动。",,,,,,,,,,,,,,,,,,,,,,
90,强袭自由,远程,物理,5,8,5,7,5,6000,45,640+70,270+45,57+3.5,0+0,50+0.0,40+0.0,0.0+0,0.66+0.032,2.00+0,300+0,俯卧在随风起舞的树阴下哭泣，望着那个素不相识的自己：吉他为逝去的人而弹奏，流行因不归之人而陨落。 不要离我而去，即使是这样恳求，也只是换来橙色花瓣的静静摇曳：遗留在稚嫩脸庞上的，掌心中的记忆，已渐远去，指尖弹奏出别离的旋律，依靠在你温柔肩膀上的儿童之心，被呼啸的车轮无情的抛开。吉他弹奏出逝人的叹息，拨弄着心弦无法平静，再未被悲伤沾染的洁白上映出了，摇曳着橙黄花瓣的夏日之影。即使脸庞不再稚嫩，也能跨越那被夕阳染红的沙滩，离别的旋律。在回忆燃烧殆尽的大地上，怀恋的嫩芽正在破土而出，目送拂晓的列车，橙色的花瓣现在又在何处摇曳。 在已迎接过无数次的黎明，再次到来之前，不要熄灭手中的灯火，车轮啊，旋转吧。,,,,,,,,,,,,,,,,,,,,,,
89,曾小贤,近战,防御,8,7,0,6,2,6000,45,589(+85),300(+35),54(+3.1),0(+0),18(+3.0),30(+1.25),0.0(+0),0.69(+0.032),1.30(+0),307(+0),世上本没有爱情公寓，但是看的人多了，就有了。在第三季结束的时候，庞大的粉丝群汇集了海量的信仰之力，最终在虚空中开辟出了真正的爱情公寓—一个叫做爱情公寓的位面，大家对于主角的印象也在其中凝聚成形…作为位面中最“古老”的生物，他们就像其他位面初创时诞生的元始生灵一样，拥有了神格和独特的神力，并肩负起了发展状态位面的责任。但粉丝的群体意识可不是专业的创世神，爱情公寓位面在初生之始就有一点小问题—这个位面太小了…小到只有那么一栋公寓几间房子。而神邸们居然被设定为需要吃饭睡觉上厕所，房间里倒是有自来水管，但是另一头,,,,,,,,,,,,,,,,,,,,,,
88,吕子乔,近战,防御,10,8,0,3,5,6000,45,636+78,0,57+3.5,0+0,16+3.0,30+1.25,0.0+0,0.68+0.03,1.50+0,311+0,世上本没有爱情公寓，但是看的人多了，就有了。在第三季结束的时候，庞大的粉丝群汇集了海量的信仰之力，最终在虚空中开辟出了真正的爱情公寓—一个叫做爱情公寓的位面，大家对于主角的印象也在其中凝聚成形…作为位面中最“古老”的生物，他们就像其他位面初创时诞生的元始生灵一样，拥有了神格和独特的神力，并肩负起了发展状态位面的责任。但粉丝的群体意识可不是专业的创世神，爱情公寓位面在初生之始就有一点小问题—这个位面太小了…小到只有那么一栋公寓几间房子。而神邸们居然被设定为需要吃饭睡觉上厕所，房间里倒是有自来水管，但是另一头,,,,,,,,,,,,,,,,,,,,,,
87,食之忍者,近战,辅助,6,2,5,8,2,420,12,630(+103),255(+42),51(+3.4),0(+0),17(+3.5),30(+1.25),0.0(+0),0.62(+0.022),1.10(+0),294(+0),北方帝国部队的线报中，经常会提到一些神秘失踪的部队。搜索的斥候们找不到马匹、武器、军粮……他们全都被吃掉了。 牟笠就是他们失踪的原因。这个可怕的忍者拥有与生俱来的饥饿感。这不是对食物的渴求，而是对“吞”这个动作的渴望。 牟笠的嘴仿佛一个黑洞，能吞下任何东西——无论是马匹、武器、军粮……还是士兵本身。尽管他带上了奇怪的面具掩饰自己的嘴，但当他饥饿难耐时，没有人敢呆在他的身边。 牟笠想过要减肥。毕竟忍者也有自己的生活，不过每当看到成堆的敌人，他总是忍不住磨牙。牟笠还是管不住自己的嘴啊。,,,,,,,,,,,,,,,,,,,,,,
86,猪八戒,近战,防御,8,1,5,7,3,1200,24,608+77,255+40,56+3.3,0+0,22+3.8,30+1.3,0.0+0,0.61+0.04,1.30+0,298+0,世人传说，一沙一世界，是一种思想。但大雷音寺的大德们知道，一沙一世界，说的是一种法门，也是一种事实。 永恒之地的存在，对佛祖来说并不是秘密，更有方法可以通过一种沙砾大小的隧道通往其他世界，他们称这个隧道为：虫洞…… 在佛门眼中看来，永恒之地的英雄们死去又活来的过程绝对是世界上最痛苦的刑罚，那么永恒之地毫无疑问就是真正的地狱。 唐僧师徒在完成了取经之后，佛门又给出了新的任务：前往永恒之地，普度众生！ 且看这师徒四人，如何搅得永恒之地天翻地覆！,,,,,,,,,,,,,,,,,,,,,,
85,胡子船长,近战,防御,7,2,6,6,6,2880,36,587(+83),298(+40),55(+3.3),0(+0),18(+3.5),30(+1.25),0.0(+0),0.63(+0.03),1.55(+0),302(+0),没有人知道被黑洞吞噬了的东西会去哪，就算是黑洞的主人自己也不知道，但就在他的体内，黑洞的另一端，有一个全新的世界：永恒之地！ 胡子船长在永恒之地醒来的时候，联邦的著名港口——巴士拉正在庆祝联邦海军的胜利，他们刚刚剿灭了横行附近海域的海盗，俘虏了大量的海盗并准备在港口进行宣判处决！ 看着那些与自己的儿子们十分相像的海盗，他做出了一个决定：用自己的能力，去换取对那些海盗的赦免。 而他自己，将会在新的战场上创造新的传奇！,,,,,,,,,,,,,,,,,,,,,,
84,蛮锤勇士,近战,防御,9,4,3,5,4,420,12,655(+81),280(+43),57(+3.5),0(+0),21(+3.8),30(+1.3),0.0(+0),0.63(+0.03),1.10(+0),289(+0),维京人克鲁格深信，当自己勇敢地战死沙场后，他将在女武神的接引下，跨过彩虹桥，进入天堂。克鲁格深信凭自己的勇猛战绩，足以得到奥丁的接见。 但这一切希望落空了！因为当他死后睁开眼看到的不是美丽的女武神，而是一个歪瓜裂枣的召唤者。他一怒之下操起锤子，将召唤师砸翻在地。 费尽口舌，召唤师们才让克鲁格明白他并没有死亡。这位勇猛的维京战士只是被召唤师们带入了永恒之地，一个战争的天堂！ 没有什么能比“再打个三百回合”让维京人更高兴的了！现在克鲁格再度操起锤子，为召唤师们而战。,,,,,,,,,,,,,,,,,,,,,,
83,张飞,近战,防御,7,4,4,6,4,1200,24,615(+83),255(+38),53(+3.0),0(+0)),17(+3.5),30(+0.0),0.0(+0),0.66(+0.03),1.50(+0),3.7(+0),这位忠诚而暴躁的将军，看上去绝对不是一个合适的英雄，情绪极易容易失控的他，被召唤进永恒之地后，却改变了他的性格。 为了配合诸葛亮与召唤师们所达成的协议，他臣服于召唤师，忠实地执行着所有的命令，为召唤师赢得一场又一场的胜利！,,,,,,,,,,,,,,,,,,,,,,
82,死亡骑士,近战,防御,4,7,4,6,7,3800,40,607(+85),311(+35),55(+3.5),0(+0),15(+3.3),30(+1.25),0.0(+0),0.65(+0.03),1.31(+0),3.7(+0),巫妖王每天被刷一万次，而且随着玩家们的等级越来越高，已经有人开始计划着单刷他了，为了逃避被单刷的耻辱，他决意离开那个让他悲伤的世界。 跟随着七个曾经组团刷过他的葫芦娃，他来到了永恒之地。,,,,,,,,,,,,,,,,,,,,,,
81,库奇,近战,防御,6,1,8,6,7,1200,14,567(+80),0(+0),51(+3.0),0(+0),17(+3.5),30(+1.25),0.0(+0),0.66(+0.03),1.20(+0),293(+0),库奇出生于机械境。她的父母用毕生心血研究出了一款AVE的战斗机器人，库奇的母亲在研究事故中丧生。 当年轻的库奇第一次乘坐这个机器人，就能够感觉到母亲环绕着自己。 然而这款机器人有着强烈的破坏欲望。为了防止机械境被破坏，库奇乘着AVE来到了永恒之地，用不停歇的战斗满足着AVE的战斗欲望。,,,,,,,,,,,,,,,,,,,,,,
80,巴依老爷,近战,防御,9,1,5,6,5,1200,24,607+84,0+0,56+3.0,0+0,17+3.5,30+1.25,0+0,0.63+0.03,110,285,随着阿凡提的名气越来越大，粉丝们让他的生活日渐阔绰了起来，他的驴子伙伴逐渐被他所疏远，阿凡提一门心思想着如何甩掉这头老驴子并用它再赚上一笔。 直到某天他想到了一个绝妙的计划，他谎称这是头可以拉金币的驴子，并牵着驴子找到了天真烂漫的巴依老爷，说服他用全部的财产换取了这头驴子，从此以后……阿凡提成了财主老爷，而巴依老爷则变得一无所有——除了那头驴子。 就在他觉得前途一片灰暗的时候，这头驴子居然开口说话了：“亲爱的朋友，请不要悲伤，我并不是一头驴子，我是塞伦盖地的斑马王子——奥斑马！我曾在马达加斯加表演过，拥有,,,,,,,,,,,,,,,,,,,,,,
79,记忆金属,近战,防御,5,6,0,10,8,1200,24,600+75,310+45,57+3.2,0,15+3.2,30+1.25,0,0.63+0.03,110,305,奇拉比·伊克斯普罗德是一个非常痴迷于钻研动力学技术的博士，他花了多年的努力研制出一个具有出色自我修复能力的机器人助手，来帮助他进行一些危险的实验，他给这个机器人取名鲍姆·伊克斯普罗德！然而不幸的事发生了，恶魔统领得知了这个消息之后决定拿下鲍姆据为己用。奇拉比是个爱好和平的正义之士，一直痛恨恶魔统领的入侵。在恶魔统领上门强抢之时，因为奇拉比的顽强反抗并用发射装置将鲍姆送向天空，才让鲍姆得以逃出恶魔统领的魔爪。鲍姆亲眼目睹自己的主人被恶魔统领残忍杀害之后，决定与恶魔统领对抗到底,,,,,,,,,,,,,,,,,,,,,,
78,夏洛特,近战,防御,7,8,1,5,6,1200,24,586+80,260+40,54+3.2,0,18+3.5,30+1.25,0,0.66+0.3,130,307,这位大公之女以无双剑技战胜了所有的追求者，为了向更高的境界进军，她踏上了追求剑道的东游之旅。 往佛国参悟慧剑之义、登昆仑领略御剑之道、踏瀛洲夺取奕剑之心。 当她发现世界已至尽头，天下再无可问道之人时，这位惊采绝艳的女子一剑斩开了时空——在原来的世界，玫瑰剑圣破空而去，而在永恒之地，她将走进新的传说。,,,,,,,,,,,,,,,,,,,,,,
77,骑士娃,近战,防御,9,3,4,5,3,3800,40,650+90,320+46,51+3.1,0,18+3.5,30+1.25,0,0.65+0.03,110,307,葫芦七兄弟被蛇妖抓住后，过上了幸福的生活。每天在神山之中组队练级，根据各自的兴趣爱好选择了不同的职业进行修行。在一次组队练级杀死最终BOSS后无意中触发了时空扰动，七兄弟同时被传送到了永恒之地，开始了他们新的旅程。,,,,,,,,,,,,,,,,,,,,,,
76,平天大圣,近战,防御,9,6,0,6,2,420,12,610+85,0,56+3.2,0,18+3.2,30+1.25,0,0.66+0.03,130,300,牛魔王本是一头野牛，出生在翠云山中。因误食仙草而获得灵性，又经三千年修炼成妖。偶然的机会用自创的平天守衡心法救了路过的因修炼天魔解体大法而走火入魔的罗刹女，两人因利益和或许存在的爱情结为了夫妻。牛魔王广结好友，三界之中的很多名人都是他的结拜兄弟。牛魔王最终在与华天道人的斗法中神秘死亡，他强大而愤怒的灵魂拒绝前往地府，地府也奈何不了他。现在的他是一名英灵，利用它的力量换取灵契师的身体的部分支配权。,,,,,,,,,,,,,,,,,,,,,,
75,姬丝秀忒,近战,防御,7,5,4,4,6,6000,45,555+85,0+0,48+3.2,0+0,15+3.2,30+1.25,0+0,66+3.2,190,302+0,姬丝秀忒送走了忍野忍和阿良良木历之后，开启了新的世界线。她看到另一个世界的自己能够获得幸福，姬丝秀忒决定也进行几次时间旅行，看看是否能够为自己找到幸福。然而在多个时空中，世界被她反复毁灭，她始终无法找到她所希望的幸福。在一次时间旅行中，她偶然穿越到了永恒之地，这次她发现自己无法毁灭世界了。她终于找到了想要的幸福——无穷无尽的战斗与鲜血。,,,,,,,,,,,,,,,,,,,,,,
74,暴风狂斧,近战,物理,6,10,0,5,6,420,12,644+93,0+0,56+3.0,0,17+3.1,30+1,0,0.66+0.03,130,303,"风，将战争血腥的气息吹上了北方高原。 这股气味让卡拉斯躁动不安。几个月前，他试图挑战部落酋长的位置。作为上任酋长的儿子，狂战士血脉的继承者，卡拉斯认为自己理应登上酋长的宝座。 他确实击败了现任的酋长，但同时也把对手给大卸八块……当卡拉斯从战斗的狂怒中清醒过来时，部落的人民正对着自己丢石头。人们害怕他。 因此卡拉斯遭到了放逐，在北方高原上徘徊。现在风中的这股血腥味又唤起了他体内战斗的狂热。 既然部落民不接受他，他就要去最适合自己的地方：战场。卡拉斯会证明自己，证明自己的双斧会是世界上最厉害的武器。""",,,,,,,,,,,,,,,,,,,,,,
73,岩石巨像,近战,防御,10,1,4,6,7,420,12,645+79,0+0,53+3,0+0,18+3.5,30+1.25,0+0,0.63+0.03,110,300,"岩石巨像旺达据说是生命之母补天所用的五色石孕育出的生灵，巨大的身躯给予了巨像恐怖的力量，他能扔出巨大的石头来砸晕敌人，那坚硬异常的岩石皮肤不但保护着自己，还能给予队友支持，五色石的身体给予他的是与大地的沟通，而生命之母所赐予的禁断力量,创造再生则让岩石巨像成为了战场上永远不会倒下的恐怖身影。",,,,,,,,,,,,,,,,,,,,,,
72,格雷,远程,辅助,4,4,6,10,7,6000,45,564+81,338+46,50+3.3,0+0,15+3,30+0,0+0,63+3,500+0,294+0,一个被爱情束缚住了基情的男人是幸福的，可惜他只是个男孩而已。末日降临，当‘阿克诺利亚’徘徊在众生头顶之时，他才幡然醒悟，原来为了爱人一切皆可牺牲；站在命运交错口上的他毫不犹豫地使用了以生命为代价的绝技【绝对冰封】。当然就凭这些是挽救不了世界的，被时间之弧挽救了性命的他，决定破开时空，来到永恒之地寻找新的希望。,,,,,,,,,,,,,,,,,,,,,,
71,捕鱼达人,远程,法系,4,3,7,7,8,1200,24,545+85,310+45,50+3,0,15+3.5,30+0,0,0.67+0.032,165,294,"""血顺着河流流进海里，这血污染了清澈的海洋，让鱼群慌乱。这让艾努和她的同胞们连续几个季节收成不佳。 海民们愤怒地召开会议，探讨人类世界的动向。他们一致宣判人类有罪。他们的血和兵器玷污了水之母。为此他们将向水之母祈祷，召唤一场灭世的海啸。 艾努站出来反对这个决议。她曾在月下平静的海面上，聆听过一个少女泛舟时的歌声。她相信人类的内心还有美好的一面。 议会于是下令艾努必须离开海洋，去结束人类的战争。艾努拿起她的鱼叉，离开波涛深邃的海洋，来到了人类文明的中心。在这里，他将以自己的方式结束人类的争端。",,,,,,,,,,,,,,,,,,,,,,
70,影舞者,近战,法系,5,3,8,5,4,1200,24,563+78,0+0,56+3.2,0+0,15+4.0,30+0,0+0,0.66+0.027,110,307,逃忍多半活不长。 “影舞者”千代和“疾风之忍”望月同属于南方城邦雇佣的忍者部队。望月擅长以忍术辅助军队作战；而千代则是独来独往的刺客，刀下少有活口。 然而随着战争加剧，千代厌倦了看着自己的忍者同胞们一个个去送死。他们是隐秘部队，不受正规军的尊重，身怀的忍术又让人畏惧。最终千代背弃了村子，成了逃忍。 忍者的生命不属于自己，属于村子的首领。于是一纸格杀令下达，忍者们摩拳擦掌，随时准备杀死这位声名显赫的前辈。 然而迄今为止从未有人成功过。任何接近千代的敌人，都死在了她魅影般的身法下。临死前，他们眼中倒映着千代漆,,,,,,,,,,,,,,,,,,,,,,
69,深渊之眼,远程,法系,6,1,8,6,7,420,12,545+75,318+50,57+3,0+0,11+3.5,30+0,0+0,0.67+0.02,485,289,圣火教派被阿奇博尔激怒了，宣扬黑暗是不可饶恕的罪行。为此， 当审判庭的召唤师们启动了那道深邃的传送门时，阿奇博尔德带着蔑笑，头也不回踏入了无尽虚空。就这样，这位年轻的天文学家坠入了湮灭一切的深渊。 当阿奇博尔德再次清醒过来时，她重新回到了永恒之地。她感觉自己仿佛穿过了一个针孔，又回到了原点。然而此刻的阿奇博尔德已经不再是个生老病死的凡人，一个通往深渊的通道，能随意扭曲时空的结构。,,,,,,,,,,,,,,,,,,,,,,
68,雷霆之怒,远程,辅助,4,1,7,9,4,420,12,519+73,366+64,55+2.9,0+0,9+3.8,30+0,0+0,0.62+0.03,420,294,"雷霆之怒美狄亚是岛国最年幼的公主。据说当她的母亲生产时，岛国正遭受百年一遇的风暴肆虐。而当公主安然出生时，她的母亲也已经难产而亡。 于是人们发现也许她正是雷霆风暴的化身。随时随地，公主总是充满了难以释放的怒气，没有哪个女仆敢于靠近她。这不仅是因为愤怒，更是因为她周身环绕着致命的魔法。 作为尊贵的公主，美狄亚的脸上始终挂着傲慢和冷漠的表情。她不屑于行走，因为风会托起她的双脚，不让污秽的大地以尘土玷辱她的纯洁。""",,,,,,,,,,,,,,,,,,,,,,
67,术士娃,远程,法系,3,2,10,6,6,3800,40,531+77,380+55,47+3.0,0+0,11+3,35+0,0+0,0.62+0.02,460,288,葫芦七兄弟被蛇妖抓住后，过上了幸福的生活。每天在神山之中组队练级，根据各自的兴趣爱好选择了不同的职业进行修行。在一次组队练级杀死最终BOSS后无意中触发了时空扰动，七兄弟同时被传送到了永恒之地，开始了他们新的旅程。,,,,,,,,,,,,,,,,,,,,,,
66,垃圾毁灭者,近战,法系,6,1,8,6,7,420,12,615+75,0+0,55+3.0,0+0,20+3.0,30+0,0+0,0.64+0.03,130+0,303, 回到地球的基尼一直在为重建地球而努力工作着，直到它老化到不能再启动。 被送进博物馆的基尼享受着后世人类的爱戴。然而机器人们也随着文明的提升而拥有了自己的立场，并发动了对人类的战争，为了打击人类的信心。 机器人之王将基尼改造为了战斗机器人并且重新激活了它。复活的基尼无法抑制自己杀戮的冲动，为了避免伤害人类，它激活了不稳定的黑洞，被时空乱流卷入了永恒之地。,,,,,,,,,,,,,,,,,,,,,,
65,青丘国主,近战,法系,6,2,7,6,7,2880,36,570(+84),300(+45),53(+3.0),0(+0),17(+3.5),30(+1.25),0.0(+0),0.65(+0.032),1.10(+0),302(+0),和石猴的传说一样，妖狐也是每个时空中都有的神话。他们以人类的欲念为食，凭附在凡人的身体里，玩弄着人类的心灵。因此猎魔人们才费尽心思要剿灭这种生物。然而妖狐的狡诈远超人们想象。他们总能在关键时刻脱离包围。 永恒之地南方城邦的法师们曾想从其他时空捕捉一只妖狐，送往北方帝国的都城来诱惑皇帝，以败坏其国政。 “这里是？”他们在召唤九尾妖狐时，连带将他的宿主漩涡青丘国主一起带到了这个世界上来了。召唤阵中的少年身上散发着巨大的查克拉之力。这让目睹此景的魔法师们被震慑了。他们明白自己召唤了一个无法控制的灾难。,,,,,,,,,,,,,,,,,,,,,,
64,蛇血舞姬,近战,法系,4,4,6,7,6,2880,36,583+(77),320(+42),53(+3.0),0+0,15(+3.0),30(+0.0),0.0(+0),0.66(+0.03),1.00(+0),310(+0),全世界对草帽小子的悬赏加在一起，也比不上草帽小子在这位海贼女王心目中的分量，当草帽小子消失在伟大航路的尽头时，她人生的目标就随之改变：去那个伟大航路尽头的世界，去找到草帽小子！ 当她真的踏上永恒之地时，草帽小子已经在永恒竞技场上赢得了巨大的名声，一方面惊喜于一踏上新世界就得到了草帽小子的消息，另一方面却得知想要见到草帽小子，就必须先成为永恒竞技场上的英雄。 现在的事情就简单了，永恒竞技场，蛇血舞姬来了！,,,,,,,,,,,,,,,,,,,,,,
63,夏娜,近战,物理,7,8,0,6,5,6000,45,630(+80),320(+36),55(+3.3),0(+0),17(+3.5),30(+1.25),0.0(+0),0.69 (+0.03),1.40(+0),310(+0),夏娜和悠二幸福地生活在一起以后，无聊婚后生活让夏娜寂寞难耐。为了实(xun)现(zhao)自(ci)我(ji)，夏娜切开了时空之门，来到了永恒之地。在和永恒之地的各种敌人战斗中，夏娜不断地提(diu)升(diao)着自己的觉（jie）悟(cao)，为了成为真正的红（ao）世(jiao)之王而努力。,,,,,,,,,,,,,,,,,,,,,,
62,御坂美琴,近战,法系,4,1,8,8,6,6000,45,564(+77),354(+50),52(+3.0),0(+0),14(+3.0),30(+0.0),0.0(+0),0.63 (+0.03),1.20 (+0),308(+0),御坂美琴的超能力达到level6时，超电磁炮产生的巨大能量将会扭曲时空。在一次偶然的机遇中，超电磁炮扭曲了时空打开了通往永恒之地的道路；而黑子却在一边幻想着和姐姐大人的私奔的旅途，当她看到扭曲时空里的永恒之地上演着激情大乱斗时，黑子灵机一动，然后抱起美琴瞬间移动了进去。,,,,,,,,,,,,,,,,,,,,,,
61,貂蝉,远程,法系,5,2,8,6,10,1200,24,544(+70),322(+45),49(+3.0),0(+0),15(+3.0),30(+0.0),0.0(+0),0.66 (+0.03),4.00 (+0),307(+0),很多时候，英雄们解决不了的问题，却可以被一些看上去弱小的存在轻易解决，比如貂蝉，她的魅力惊心动魄，解决了董卓，也解决了南方联盟的一个难题。 北方帝国召唤来的吕布让联盟吃尽了苦头，无数前往挑战的英雄都失败了，但貂蝉……却轻易地动摇了这颗帝国新星的立场，逆转了战场上的局势。 看来无论是在哪个世界，小女子，都可以有大作为！,,,,,,,,,,,,,,,,,,,,,,
60,月之女祭司,远程,法系,3,5,7,6,8,3800,40,551(+72),332(+38),50(+3.0),0(+0),14(+3.0),30(+0.0),0.0(+0),0.68(+0.035),4.8(+0),302(+0),"""对于任何一个丈夫已经在梦境中沉浸了一万年的女人来说，已经没有什么能够阻止她寻求新的刺激了，起码风干的香蕉做不到。 某次她影遁于天灾野区时，不小心窥视到了斧王与痛苦女王一起消失在了树林深处，按耐不住内心好奇的她悄悄地跟了上去……可惜，她没看见她期待的内容。 一阵白光闪过，她来到了永恒之地，没有了对丈夫的牵挂，万年的寂寞终将得到解脱，在这片自由之地上，没有人能阻止月之女祭司的狂野了！""",,,,,,,,,,,,,,,,,,,,,,
59,痛苦女王,远程,法系,3,3,9,6,7,3800,40,550(+75),355(+49),51(+3.0),0(+0),13(+3.0),30(+0.0),0.0(+0),0.66 (+0.03),4.80(+0),294(+0),被兽人掳掠到外域的人类公主受尽凌辱，全靠回到故乡的愿望支撑，她相信，她心爱的骑士会来救她。 人类大军终于来了，可是，她却惊恐地发现，她怀孕了……怀上了兽人的孩子，甚至谁是孩子的父亲，她都不知道…… 为了报复兽族赋予她的痛苦，她埋葬了作为少女的自己，化身铁血女王对兽人领土实行残酷的殖民统治，为了缓解内心的痛苦，她拥有了许多变态的嗜好，但她再也没有真正快乐过。 现在，为了寻求真正的快乐和内心的解脱，她来到了永恒之地！,,,,,,,,,,,,,,,,,,,,,,
58,变异魔菇,远程,法系,3,1,9,6,7,420,12,545(+75),295(+45),55(+3.0),0(+0),15(+3.2),30(+0.0),0.0(+0),0.63(+0.02),4.85(+0),298(+0),和其他来自异世界的英雄们不同，变异魔菇·舔舔是永恒之地土生土长的居民。 为了应付北方王国的入侵，大法师艾维诺在南方阴郁湿热的丛林中实验一种全新的法术：将沉睡百年的古木唤醒，让它们成为南方军队的士兵。 但是实验的结果出了点问题。让一只躲藏在阴影中的蕈菇吸收了魔力。它不断膨胀，不可收拾，它就是尤史瑞。 舔舔的到来很快成为南方的灾难。这只巨大的魔菇不是植物、动物、真菌，它是可怕的魔法生物，它吞噬着一切阻挡在自己面前的东西，在背后留下一条蘑菇之路。 为了束缚这头可怕的蘑菇。召唤师们把舔舔带到了永恒之地的竞技场——,,,,,,,,,,,,,,,,,,,,,,
57,死神,近战,法系,4,2,8,7,5,3800,40,585(+80),300(+40),50(+3.0),0(+0),15(+3.0),30(+0.0),0.0(+0),0.60 (+0.03),1.30 (+0),308(+0),死是生的新生，在永恒之地的生死螺旋的尽头，有一个灵魂一直在默默地吸收着各种菜鸟被虐的怨气，当他降临之时，将是菜鸟逆袭之时！,,,,,,,,,,,,,,,,,,,,,,
56,舰队统帅,远程,法系,3,2,9,7,5,3800,40,562 (+75),360(+49),51(+3.0),0(+0),13(+3.0),30(+0.0),0.0(+0),0.66 (+0.03),4.85(+0),294(+0),作为昆卡最忠诚的手下，最亲密的朋友和最爱的伴侣，罗杰陪伴着昆卡击退了无数次洪流恶魔的进攻。在那次毁灭漩涡之战中，昆卡在漩涡中失踪。随后在世界各地的海域均有昆卡乘着幽灵船抗击邪恶的事迹。罗杰在战后继承了昆卡的军衔和遗志，听说了消息后立刻率领着舰队扬帆出海，四处寻找昆卡的踪迹。在听说昆卡在永恒之地出现过以后，罗杰主动送上了自己的灵魂契约，期望有一天能够在无尽的战斗中与昆卡相逢。,,,,,,,,,,,,,,,,,,,,,,
55,齐天小剩,远程,法系,2,1,10,8,9,1200,24,549(+83),350(+48),50(+3.0),0(+0),15+(3.3),30(+0.0),0.0(+0),0.66(+0.03),5.28(+0),307(+0),"出身美猴王世家的小剩从小就被当成家族新一代的继承人来培养,可是因为顽皮的性格他在16岁时闯下了弥天大祸，被迫离家出走，带着家传之宝筋斗云，金箍棒以及三们好“鸡”友一起闯荡江湖。",,,,,,,,,,,,,,,,,,,,,,
54,牧师娃,远程,辅助,4,1,6,10,6,3800,40,555(+74),345(+45),46(+3.0),0(+0),14(+3.0),30(+0.0),0.0(+0）,0.63(+0.03),4.85(+0),294(+0),葫芦七兄弟被蛇妖抓住后，过上了幸福的生活。每天在神山之中组队练级，根据各自的兴趣爱好选择了不同的职业进行修行。在一次组队练级杀死最终BOSS后无意中触发了时空扰动，七兄弟同时被传送到了永恒之地，开始了他们新的旅程。,,,,,,,,,,,,,,,,,,,,,,
